timestamp,cpu_count,user,system,idle,interrupt,dpc,load_avg_0,load_avg_1,load_avg_2,memory_total,memory_used,memory_free,memory_percent,memory_sin,memory_sout,disk_total_disk,disk_used_disk,disk_free_disk,disk_percent_disk,disk_io_read_count_disk_io,disk_io_write_count_disk_io,disk_io_read_bytes_disk_io,disk_io_write_bytes_disk_io,disk_io_read_time_disk_io,disk_io_write_time_disk_io,label
1704645053983,4,53.1,31.2,15.3,0.3,0.0,0.0,0.0,0.0,7371902976,496197631,6875705345,6.7,0,0,490662260736,347046080512,143616180224,70.7,8101648,3853474,203348512256,373936665088,4528,4028,anomaly
1704645057295,4,72.7,27.1,0.0,0.1,0.1,4.48,0.93,0.31,11712434176,426295296,11286138880,3.6,0,0,490662260736,351926538240,138735722496,71.7,8101757,3853648,203350883328,373940835840,4528,4028,anomaly
1704645060566,4,49.7,48.8,0.0,1.1,0.4,8.52,1.82,0.61,7371902976,426295296,6945607680,5.8,0,0,490662260736,347047137280,143615123456,70.7,8101811,3855159,203354541056,374589925376,4528,4033,anomaly
1704645062946,4,66.1,31.7,0.0,1.9,0.3,8.52,1.82,0.61,7371902976,426295296,6945607680,5.8,0,0,490662260736,347049562112,143612698624,70.7,8101825,3855287,203354905600,374595885056,4528,4034,anomaly
1704645065313,4,92.2,6.2,0.0,1.0,0.7,10.63,2.37,0.8,7371902976,426295296,6945607680,5.8,0,0,490662260736,347049566208,143612694528,70.7,8101828,3855309,203354960896,374596356096,4528,4034,anomaly
1704645067653,4,75.0,20.0,4.1,0.8,0.2,10.63,2.37,0.8,7371902976,426033152,6945869824,5.8,0,0,490662260736,347049631744,143612628992,70.7,8101843,3855377,203356197888,374598916096,4528,4034,anomaly
1704645070540,4,66.6,33.0,0.0,0.4,0.0,12.02,2.79,0.95,10729148416,426033152,10303115264,4.0,0,0,490662260736,350964817920,139697442816,71.5,8101855,3855444,203356455936,374602462208,4528,4034,anomaly
1704645074205,4,77.3,21.3,0.0,1.4,0.0,12.02,2.79,0.95,12910321664,426033152,12484288512,3.3,0,0,490662260736,353135890432,137526370304,72.0,8101864,3855451,203356627968,374602633728,4528,4034,anomaly
1704645076335,4,1.0,6.9,91.9,0.2,0.0,11.22,2.78,0.96,12910321664,426033152,12484288512,3.3,0,0,490662260736,353135898624,137526362112,72.0,8101868,3855462,203356644352,374603313664,4528,4034,normal
1704645078362,4,0.4,1.0,98.7,0.0,0.0,11.22,2.78,0.96,7371902976,426033152,6945869824,5.8,0,0,490662260736,347049664512,143612596224,70.7,8101871,3855762,203356697600,374605198848,4528,4034,normal
1704645080381,4,1.0,1.7,97.1,0.2,0.0,10.32,2.73,0.95,7371902976,426033152,6945869824,5.8,0,0,490662260736,347052269568,143609991168,70.7,8101874,3855874,203356709888,374612256256,4528,4034,normal
1704645082396,4,4.0,2.7,92.7,0.2,0.4,10.32,2.73,0.95,7371902976,426033152,6945869824,5.8,0,0,490662260736,347052285952,143609974784,70.7,8101880,3856120,203356795904,374624019968,4528,4034,normal
1704645084417,4,2.3,1.9,95.2,0.6,0.0,10.32,2.73,0.95,7371902976,426033152,6945869824,5.8,0,0,490662260736,347055038464,143607222272,70.7,8101887,3856178,203357897728,374627243520,4528,4034,normal
1704645086440,4,1.9,2.5,95.5,0.0,0.0,9.5,2.69,0.95,7371902976,426033152,6945869824,5.8,0,0,490662260736,347055038464,143607222272,70.7,8101890,3856180,203357910016,374627382784,4528,4034,normal
1704645088464,4,1.0,1.5,97.3,0.2,0.0,9.5,2.69,0.95,7371902976,426033152,6945869824,5.8,0,0,490662260736,347055038464,143607222272,70.7,8101894,3856188,203357926400,374627923456,4528,4034,normal
1704645090484,4,0.8,1.8,97.3,0.0,0.2,8.74,2.64,0.94,7371902976,426033152,6945869824,5.8,0,0,490662260736,347057532928,143604727808,70.7,8101904,3856301,203358032896,374634853888,4528,4034,normal
1704645092514,4,1.7,2.9,95.2,0.2,0.0,8.74,2.64,0.94,7371902976,426033152,6945869824,5.8,0,0,490662260736,347057537024,143604723712,70.7,8101928,3856345,203358389760,374635873792,4528,4035,normal
1704645094549,4,1.4,0.8,97.5,0.4,0.0,8.74,2.64,0.94,7371902976,426033152,6945869824,5.8,0,0,490662260736,347057537024,143604723712,70.7,8101930,3856349,203358397952,374635914752,4528,4035,normal
1704645096577,4,0.4,2.2,97.5,0.0,0.0,8.04,2.6,0.94,7371902976,426033152,6945869824,5.8,0,0,490662260736,347060031488,143602229248,70.7,8101932,3856483,203358406144,374643287552,4528,4035,normal
1704645098606,4,1.7,1.7,96.1,0.4,0.0,8.04,2.6,0.94,7371902976,426033152,6945869824,5.8,0,0,490662260736,347060031488,143602229248,70.7,8101935,3856518,203358418432,374647919104,4528,4035,normal
1704645100633,4,1.0,0.2,98.8,0.0,0.0,7.4,2.56,0.93,7371902976,426033152,6945869824,5.8,0,0,490662260736,347060031488,143602229248,70.7,8101939,3856526,203358434816,374651200000,4528,4035,normal
1704645102807,4,26.9,21.1,51.3,0.6,0.2,7.4,2.56,0.93,7371902976,426033152,6945869824,5.8,0,0,490662260736,347060043776,143602216960,70.7,8101950,3856578,203358643712,374658753024,4528,4035,anomaly
1704645105791,4,67.2,32.5,0.0,0.1,0.1,8.33,2.83,1.03,11737640960,426033151,11311607809,3.6,0,0,490662260736,351972651008,138689609728,71.7,8101964,3856812,203358914048,374665512960,4528,4035,anomaly
1704645108625,4,58.4,32.2,7.4,1.0,1.0,8.33,2.83,1.03,11737640960,428335104,11309305856,3.6,0,0,490662260736,351972646912,138689613824,71.7,8101974,3858471,203359270400,375395446272,4528,4041,anomaly
